date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:41:00	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202019%2002:41:00%20GMT	https://theox-web.glitch.me/robots.txt		(from )
04:41:00	4452/4452	---M--	200	added ('OK')	text/html	etag:W/%221164-3JJFSMMl6HJ0XJPHmgfp55Xkn04%22	https://theox-web.glitch.me/	C:/Users/Psycho/Desktop/Theox/Thexo/theox-web.glitch.me/index.html	(from )
04:41:02	260887/260887	---MCZ	200	added ('OK')	text/css	etag:W/%225d43417c-3fb17%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/css/uikit.min.css	C:/Users/Psycho/Desktop/Theox/Thexo/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/css/uikit.min.css	(from https://theox-web.glitch.me/)
04:41:04	135192/135192	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d43417c-21018%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit.min.js	C:/Users/Psycho/Desktop/Theox/Thexo/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit.min.js	(from https://theox-web.glitch.me/)
04:41:05	63985/63985	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d43417d-f9f1%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit-icons.min.js	C:/Users/Psycho/Desktop/Theox/Thexo/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit-icons.min.js	(from https://theox-web.glitch.me/)
04:41:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Psycho/Desktop/Theox/Thexo/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://theox-web.glitch.me/)
04:41:13	4187/4187	---M--	200	added ('OK')	text/css	etag:W/%22105b-16e69fac728%22	https://theox-web.glitch.me/style.css	C:/Users/Psycho/Desktop/Theox/Thexo/theox-web.glitch.me/style.css	(from https://theox-web.glitch.me/)
04:41:14	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/Psycho/Desktop/Theox/Thexo/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://theox-web.glitch.me/)
04:41:15	3628/3628	---M--	200	added ('OK')	application/javascript	etag:W/%22e2c-16e64eb8d08%22	https://theox-web.glitch.me/main.js	C:/Users/Psycho/Desktop/Theox/Thexo/theox-web.glitch.me/main.js	(from https://theox-web.glitch.me/)
04:41:16	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2015%20Nov%202019%2002:41:16%20GMT	https://discord.gg/rwueWBT	C:/Users/Psycho/Desktop/Theox/Thexo/discord.gg/rwueWBT.7.delayed	(from https://theox-web.glitch.me/)
04:41:17	4804/4804	---MCZ	200	added ('OK')	text/html	etag:W/%22572afc1e4a14af9622b29fe39e1cf917%22	https://discordapp.com/invite/rwueWBT	C:/Users/Psycho/Desktop/Theox/Thexo/discordapp.com/invite/rwueWBT.html	(from https://theox-web.glitch.me/)
04:41:18	541/541	---M--	302	error ('FOUND')	text/html	date:Fri,%2015%20Nov%202019%2002:41:18%20GMT	https://discordapp.com/api/oauth2/authorize?client_id=612619889626054667&permissions=2147483127&redirect_uri=https%3A%2F%2FTheox-web.glitch.me%2Fauth&scope=bot	C:/Users/Psycho/Desktop/Theox/Thexo/discordapp.com/api/oauth2/authorize.9ee97.delayed	(from https://theox-web.glitch.me/)
04:41:19	3740/3740	---MCZ	200	added ('OK')	text/html	etag:W/%22572afc1e4a14af9622b29fe39e1cf917%22	https://discordapp.com/oauth2/authorize?client_id=612619889626054667&permissions=2147483127&redirect_uri=https%3A%2F%2FTheox-web.glitch.me%2Fauth&scope=bot	C:/Users/Psycho/Desktop/Theox/Thexo/discordapp.com/oauth2/authorizeee97.html	(from https://theox-web.glitch.me/)
04:41:20	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Nov%202019%2002:41:20%20GMT	https://theox-web.glitch.me/login	C:/Users/Psycho/Desktop/Theox/Thexo/theox-web.glitch.me/login.b.delayed	(from https://theox-web.glitch.me/)
04:41:21	561/561	---M--	302	error ('FOUND')	text/html	date:Fri,%2015%20Nov%202019%2002:41:21%20GMT	https://discordapp.com/api/oauth2/authorize?response_type=code&redirect_uri=https%3A%2F%2FTheox-web.glitch.me%2Fauth&scope=identify%20guilds&client_id=612619889626054667	C:/Users/Psycho/Desktop/Theox/Thexo/discordapp.com/api/oauth2/authorizecb4a	(from https://theox-web.glitch.me/)
04:41:24	3740/3740	---MCZ	200	added ('OK')	text/html	etag:W/%22572afc1e4a14af9622b29fe39e1cf917%22	https://discordapp.com/oauth2/authorize?response_type=code&redirect_uri=https%3A%2F%2FTheox-web.glitch.me%2Fauth&scope=identify%20guilds&client_id=612619889626054667	C:/Users/Psycho/Desktop/Theox/Thexo/discordapp.com/oauth2/authorizecb4a.html	(from https://theox-web.glitch.me/)
04:41:25	1232/1232	---MC-	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2002:41:24%20GMT	https://fonts.googleapis.com/earlyaccess/notokufiarabic.css	C:/Users/Psycho/Desktop/Theox/Thexo/fonts.googleapis.com/earlyaccess/notokufiarabic.css	(from https://theox-web.glitch.me/style.css)
04:41:26	183/183	---MCZ	200	added ('OK')	text/plain	date:Fri,%2015%20Nov%202019%2002:41:26%20GMT	https://discordapp.com/robots.txt		(from https://theox-web.glitch.me/)
